date,Year,Month,Day,value
1997-01-01,1997,1,1,16
1997-01-02,1997,1,2,18
1997-01-03,1997,1,3,17
1997-01-04,1997,1,4,17
1997-01-05,1997,1,5,15
1997-01-06,1997,1,6,14
1997-01-07,1997,1,7,14
1997-01-08,1997,1,8,11
1997-01-09,1997,1,9,11
1997-01-10,1997,1,10,11
1997-01-11,1997,1,11,12
1997-01-12,1997,1,12,12
1997-01-13,1997,1,13,15
1997-01-14,1997,1,14,17
1997-01-15,1997,1,15,17
1997-01-16,1997,1,16,17
1997-01-17,1997,1,17,18
1997-01-18,1997,1,18,17
1997-01-19,1997,1,19,17
1997-01-20,1997,1,20,16
1997-01-21,1997,1,21,18
1997-01-22,1997,1,22,16
1997-01-23,1997,1,23,13
1997-01-24,1997,1,24,10
1997-01-25,1997,1,25,10
1997-01-26,1997,1,26,12
1997-01-27,1997,1,27,13
1997-01-28,1997,1,28,14
1997-01-29,1997,1,29,14
1997-01-30,1997,1,30,18
1997-01-31,1997,1,31,17
1997-02-01,1997,2,1,17
1997-02-02,1997,2,2,17
1997-02-03,1997,2,3,14
1997-02-04,1997,2,4,14
1997-02-05,1997,2,5,15
1997-02-06,1997,2,6,14
1997-02-07,1997,2,7,13
1997-02-08,1997,2,8,13
1997-02-09,1997,2,9,14
1997-02-10,1997,2,10,16
1997-02-11,1997,2,11,14
1997-02-12,1997,2,12,13
1997-02-13,1997,2,13,13
1997-02-14,1997,2,14,14
1997-02-15,1997,2,15,14
1997-02-16,1997,2,16,13
1997-02-17,1997,2,17,13
1997-02-18,1997,2,18,11
1997-02-19,1997,2,19,13
1997-02-20,1997,2,20,14
1997-02-21,1997,2,21,13
1997-02-22,1997,2,22,16
1997-02-23,1997,2,23,15
1997-02-24,1997,2,24,16
1997-02-25,1997,2,25,19
1997-02-26,1997,2,26,21
1997-02-27,1997,2,27,18
1997-02-28,1997,2,28,17
1997-03-01,1997,3,1,17
1997-03-02,1997,3,2,16
1997-03-03,1997,3,3,14
1997-03-04,1997,3,4,14
1997-03-05,1997,3,5,17
1997-03-06,1997,3,6,17
