date,avg_temperature
1997-01,14.74
1997-02,14.79
1997-03,18.23
1997-04,21.4
1997-05,24.26
1997-06,25.87
1997-07,26.58
1997-08,26.9
1997-09,24.9
1997-10,24.55
1997-11,21.3
1997-12,16.74
1998-01,15.16
1998-02,15.46
1998-03,17.35
1998-04,22.73
1998-05,25.32
1998-06,26.93
1998-07,27.71
1998-08,27.71
1998-09,26.4
1998-10,24.45
1998-11,20.97
1998-12,16.68
1999-01,14.74
1999-02,16.36
1999-03,18.45
1999-04,22.8
1999-05,23.32
1999-06,27.53
1999-07,27.94
1999-08,26.81
1999-09,26.27
1999-10,24.68
1999-11,20.03
1999-12,13.87
2000-01,14.77
2000-02,14.43
2000-03,20.75
2000-04,22.24
2000-05,25.29
2000-06,26.68
2000-07,27.58
2000-08,26.46
2000-09,26.07
2000-10,24.48
2000-11,18.9
2000-12,16.58
2001-01,15.29
2001-02,15.04
2001-03,19.06
2001-04,21.23
2001-05,25.42
2001-06,26.33
2001-07,26.74
2001-08,27.61
2001-09,26.57
2001-10,24.77
2001-11,18.8
2001-12,15.55
2002-01,14.53
2002-02,16.46
2002-03,20.06
2002-04,23.3
2002-05,25.48
2002-06,27.6
2002-07,27.29
2002-08,26.81
2002-09,25.53
2002-10,23.45
2002-11,19.1
2002-12,16
2003-01,13.19
2003-02,16.96
2003-03,17.71
2003-04,22.87
2003-05,25.97
2003-06,26.33
2003-07,28
2003-08,27.19
2003-09,26.4
2003-10,23.58
2003-11,20.07
2003-12,14.68
2004-01,13.68
2004-02,15.28
2004-03,17.9
2004-04,21.9
2004-05,24.65
2004-06,27.47
2004-07,26.97
2004-08,27.03
2004-09,26.03
2004-10,22.65
2004-11,20.53
2004-12,16.39
2005-01,13.35
2005-02,14.54
2005-03,15.32
2005-04,21.3
2005-05,24.06
2005-06,25.8
2005-07,27.23
2005-08,26.84
2005-09,26.97
2005-10,24.65
2005-11,22.04
2005-12,14.81
2006-01,14.84
2006-02,16.43
2006-03,16.94
2006-04,22.73
2006-05,24.68
2006-06,26.8
2006-07,27.81
2006-08,26.81
2006-09,25.3
2006-10,24.97
2006-11,21.43
2006-12,15.84
2007-01,14.1
2007-02,18.18
2007-03,18.97
2007-04,20.03
2007-05,24.97
2007-06,27.07
2007-07,28.26
2007-08,26.87
2007-09,26.57
2007-10,24.48
2007-11,19.03
2007-12,17.74
2008-01,13.32
2008-02,11.24
2008-03,18.19
2008-04,22.27
2008-05,24.16
2008-06,25.37
2008-07,26.9
2008-08,26.71
2008-09,26.93
2008-10,25.19
2008-11,20
2008-12,16.03
2009-01,12.58
2009-02,19.25
2009-03,18.23
2009-04,20.87
2009-05,23.94
2009-06,26.9
2009-07,27.52
2009-08,27.87
2009-09,27.5
2009-10,25.1
2009-11,18.17
2009-12,15.58
2010-01,15.26
2010-02,16.57
2010-03,18.55
2010-04,19.83
2010-05,24.52
2010-06,26.3
2010-07,27.71
2010-08,27.29
2010-09,26.4
2010-10,23.65
2010-11,19.4
2010-12,15.32
2011-01,10.77
2011-02,14.21
2011-03,15.81
2011-04,21
2011-05,24.35
2011-06,27.1
2011-07,27.45
2011-08,28.13
2011-09,26.63
2011-10,23.55
2011-11,22
2011-12,14.77
2012-01,12.93
2012-02,14.34
2012-03,17.65
2012-04,22.53
2012-05,26.61
2012-06,27.3
2012-07,27.32
2012-08,27.87
2012-09,26.47
2012-10,24.19
2012-11,20.7
2012-12,15.71
2013-01,14.81
2013-02,17.54
2013-03,19
2013-04,20.37
2013-05,24.61
2013-06,27.03
2013-07,26.97
2013-08,27.06
2013-09,26.5
2013-10,24.19
2013-11,19.97
2013-12,13.52
2014-01,14.16
2014-02,13.39
2014-03,17.65
2014-04,21.97
2014-05,25.32
2014-06,27.73
2014-07,27.97
2014-08,27.55
2014-09,27.73
2014-10,25.06
2014-11,21.5
2014-12,14.23
2015-01,14.87
2015-02,16.64
2015-03,19.32
2015-04,21.67
2015-05,26.52
2015-06,28.4
2015-07,27.74
2015-08,27.68
2015-09,27.13
2015-10,24.58
2015-11,22.63
2015-12,16.55
2016-01,14.52
2016-02,13.17
2016-03,16.26
2016-04,22.53
2016-05,25.68
2016-06,28.1
2016-07,28.26
2016-08,27.13
2016-09,26.77
2016-10,25.45
2016-11,20.37
2016-12,17.84
2017-01,17.23
2017-02,15.04
2017-03,18
2017-04,21.47
2017-05,24.58
2017-06,27.8
2017-07,27.42
2017-08,27.81
2017-09,27.57
2017-10,25.36
