date,month,temp
1997,1,14.74
1997,2,14.79
1997,3,18.23
1997,4,21.4
1997,5,24.26
1997,6,25.87
1997,7,26.58
1997,8,26.9
1997,9,24.9
1997,10,24.55
1997,11,21.3
1997,12,16.74
1998,1,15.16
1998,2,15.46
1998,3,17.35
1998,4,22.73
1998,5,25.32
1998,6,26.93
1998,7,27.71
1998,8,27.71
1998,9,26.4
1998,10,24.45
1998,11,20.97
1998,12,16.68
1999,1,14.74
1999,2,16.36
1999,3,18.45
1999,4,22.8
1999,5,23.32
1999,6,27.53
1999,7,27.94
1999,8,26.81
1999,9,26.27
1999,10,24.68
1999,11,20.03
1999,12,13.87
2000,1,14.77
2000,2,14.43
2000,3,20.75
2000,4,22.24
2000,5,25.29
2000,6,26.68
2000,7,27.58
2000,8,26.46
2000,9,26.07
2000,10,24.48
2000,11,18.9
2000,12,16.58
2001,1,15.29
2001,2,15.04
2001,3,19.06
2001,4,21.23
2001,5,25.42
2001,6,26.33
2001,7,26.74
2001,8,27.61
2001,9,26.57
2001,10,24.77
2001,11,18.8
2001,12,15.55
2002,1,14.53
2002,2,16.46
2002,3,20.06
2002,4,23.3
2002,5,25.48
2002,6,27.6
2002,7,27.29
2002,8,26.81
2002,9,25.53
2002,10,23.45
2002,11,19.1
2002,12,16
2003,1,13.19
2003,2,16.96
2003,3,17.71
2003,4,22.87
2003,5,25.97
2003,6,26.33
2003,7,28
2003,8,27.19
2003,9,26.4
2003,10,23.58
2003,11,20.07
2003,12,14.68
2004,1,13.68
2004,2,15.28
2004,3,17.9
2004,4,21.9
2004,5,24.65
2004,6,27.47
2004,7,26.97
2004,8,27.03
2004,9,26.03
2004,10,22.65
2004,11,20.53
2004,12,16.39
2005,1,13.35
2005,2,14.54
2005,3,15.32
2005,4,21.3
2005,5,24.06
2005,6,25.8
2005,7,27.23
2005,8,26.84
2005,9,26.97
2005,10,24.65
2005,11,22.04
2005,12,14.81
2006,1,14.84
2006,2,16.43
2006,3,16.94
2006,4,22.73
2006,5,24.68
2006,6,26.8
2006,7,27.81
2006,8,26.81
2006,9,25.3
2006,10,24.97
2006,11,21.43
2006,12,15.84
2007,1,14.1
2007,2,18.18
2007,3,18.97
2007,4,20.03
2007,5,24.97
2007,6,27.07
2007,7,28.26
2007,8,26.87
2007,9,26.57
2007,10,24.48
2007,11,19.03
2007,12,17.74
2008,1,13.32
2008,2,11.24
2008,3,18.19
2008,4,22.27
2008,5,24.16
2008,6,25.37
2008,7,26.9
2008,8,26.71
2008,9,26.93
2008,10,25.19
2008,11,20
2008,12,16.03
2009,1,12.58
2009,2,19.25
2009,3,18.23
2009,4,20.87
2009,5,23.94
2009,6,26.9
2009,7,27.52
2009,8,27.87
2009,9,27.5
2009,10,25.1
2009,11,18.17
2009,12,15.58
2010,1,15.26
2010,2,16.57
2010,3,18.55
2010,4,19.83
2010,5,24.52
2010,6,26.3
2010,7,27.71
2010,8,27.29
2010,9,26.4
2010,10,23.65
2010,11,19.4
2010,12,15.32
2011,1,10.77
2011,2,14.21
2011,3,15.81
2011,4,21
2011,5,24.35
2011,6,27.1
2011,7,27.45
2011,8,28.13
2011,9,26.63
2011,10,23.55
2011,11,22
2011,12,14.77
2012,1,12.93
2012,2,14.34
2012,3,17.65
2012,4,22.53
2012,5,26.61
2012,6,27.3
2012,7,27.32
2012,8,27.87
2012,9,26.47
2012,10,24.19
2012,11,20.7
2012,12,15.71
2013,1,14.81
2013,2,17.54
2013,3,19
2013,4,20.37
2013,5,24.61
2013,6,27.03
2013,7,26.97
2013,8,27.06
2013,9,26.5
2013,10,24.19
2013,11,19.97
2013,12,13.52
2014,1,14.16
2014,2,13.39
2014,3,17.65
2014,4,21.97
2014,5,25.32
2014,6,27.73
2014,7,27.97
2014,8,27.55
2014,9,27.73
2014,10,25.06
2014,11,21.5
2014,12,14.23
2015,1,14.87
2015,2,16.64
2015,3,19.32
2015,4,21.67
2015,5,26.52
2015,6,28.4
2015,7,27.74
2015,8,27.68
2015,9,27.13
2015,10,24.58
2015,11,22.63
2015,12,16.55
2016,1,14.52
2016,2,13.17
2016,3,16.26
2016,4,22.53
2016,5,25.68
2016,6,28.1
2016,7,28.26
2016,8,27.13
2016,9,26.77
2016,10,25.45
2016,11,20.37
2016,12,17.84
2017,1,17.23
2017,2,15.04
2017,3,18
2017,4,21.47
2017,5,24.58
2017,6,27.8
2017,7,27.42
2017,8,27.81
2017,9,27.57
2017,10,25.36
